video_id,subset,recipe_type,segment_id,segment_start,segment_end,sentence,predicted_label
4eWzsx1vAi8,validation,101,7,197,210,add bacon and cover with second bread,Mix
4if72iBIiJ8,training,116,1,48,73,roll out the dough,Mix
4if72iBIiJ8,training,116,3,105,113,add mozzarella cheese on top,Plate
4if72iBIiJ8,training,116,4,114,136,add chopped mushroom and pepperoni on top,Plate
4nxbRG6-sfw,validation,301,1,46,57,pour the marinade onto the chicken and mix,Mix
543n2SO_03E,training,214,3,133,137,remove the plastic wrap from the tray,Prep
543n2SO_03E,training,214,5,156,163,place some of the liver on plastic wrap and roll it,Mix
543n2SO_03E,training,214,13,254,256,remove the plastic wrap from the liver,Idle
5B1jpHgRetQ,training,316,4,126,135,add katsuobushi and simmer,Cook-Heat
5B1jpHgRetQ,training,316,6,173,180,add tofu to the stock,Cook-Heat
5I-_uJQ0t1o,training,107,0,157,162,remove the head of a squid,Prep
5Pa79r5Q-ZI,validation,219,1,88,93,weigh the cabbage and add salt,Prep
5Pa79r5Q-ZI,validation,219,2,97,98,add a capture of lactic bacteria,Mix
5SMOBHTBPjA,training,425,10,332,359,place the filling in the center and fold the dosa on both sides,Mix
5_mNozo4yqM,training,119,6,141,160,add two beaten eggs some chopped parsley leaves and some parmesan cheese,Mix
5_mNozo4yqM,training,119,9,249,275,pour sauce on the loaf,Mix
5cqJkRqbHrs,training,418,5,222,231,pour in the masala,Season
5cwg5mURihI,training,201,9,226,233,put some parmesan cheese onto the chicken,Season
5xogySLxeWQ,training,227,10,306,317,add ground cumin lemon juice and olive oil to the food processor,Mix
62H65wNWMZo,training,212,1,29,34,add some chopped carrots and onions and cook,Cook-Heat
62H65wNWMZo,training,212,2,37,50,add the beef water and a stock cube and simmer,Cook-Heat
67ilysu8CeU,training,401,3,131,158,add the chicken and coat with the sauce,Season
6IN_mupBjh8,training,106,2,198,235,pour some melted butter beaten eggs seasoned salt and half-half on the dish,Mix
6KCWzRfFyr4,training,319,8,477,518,add bean sprouts cooked zucchini goshari spinach shiitake mushroom chopped carrots and cooked beef to rice,Mix
6XBocXgvfTs,validation,230,1,124,141,add the sauce and some raw shrimps to a bag and refrigerate,Idle
6bZ4ZJtRmaE,training,126,1,126,164,place the beef onto a grill,Cook-Heat
6jQF0_tuGdU,training,124,8,123,131,put some sauerkraut on the hot dog,Mix
6jQF0_tuGdU,training,124,9,137,140,add the sauce that was made to the hot dog,Mix
6uHoTJSLoL8,validation,303,1,74,92,add mince pork and stir,Mix
6uttmRx2ovo,training,218,9,546,550,spray some oil on the pierogies,Prep
7-FatJyHj_g,validation,305,5,88,106,transfer to an airtight container and cover with a lid,Idle
7E8Lj_Ktfok,validation,310,7,177,189,place the apple puree on the tuna,Plate
7Ui4OCsawAU,training,215,6,217,224,add the escargot inside the shells,Mix
7Xw2utxQSK8,training,410,3,188,220,roll out the dough,Mix
7jO6rYyhuJk,validation,113,2,54,62,now place the top layer of the bread slice on it and cook for 3 min,Cook-Heat
7nH0Y3agsas,training,202,4,129,173,add flour mixture tomatoes herbs and seasoning to the pan and stir,Mix
83sNHrKGcqY,training,126,2,119,121,add minced garlic,Mix
83sNHrKGcqY,training,126,6,242,272,put the cooked meat and some sliced avocado tomato sour cream and cheese inside the tortilla,Mix
86Mb6cYFJig,validation,410,4,100,119,roll out the dough,Mix
86Mb6cYFJig,validation,410,6,150,153,when air bubbles form flip the bread over,Idle
86Mb6cYFJig,validation,410,7,177,187,place the bread over high flame,Bake
891dSjYielI,training,203,0,33,105,add beef egg minced garlic black pepper parmesan cheese parsley bread crumb and mix well,Mix
891dSjYielI,training,203,3,210,242,add the meatballs to the sauce and simmer,Cook-Heat
891dSjYielI,training,203,4,273,305,place the meatballs on spaghetti and sprinkle parmesan on top,Plate
8PFyEtZgSUs,training,218,1,87,93,add in parmesan cheese,Mix
8XcSP7kKOIo,validation,117,3,29,35,pour vinegar into the boiling water and simmer,Cook-Heat
8ZX3Lazhkp4,training,117,5,125,135,gently stir the water around the egg,Mix
8lqdPpg3w08,training,103,5,230,234,place cheese on the patty,Plate
91z7e22XGy8,training,218,4,141,146,place the filling in the center of the wrapper,Plate
92cezdsHEwM,training,225,6,386,398,add water to the soup,Mix
9BNRMHGepS4,validation,119,6,194,240,pour some barbecue sauce on the meat loaf and bake the meatloaf,Bake
9CLtnYV28bY,training,409,10,392,401,add garam masala and cook,Cook-Heat
9RRHAydI_xk,training,406,5,135,139,remove the wrapper,Prep
9cDDAEsdb7A,training,114,8,185,220,keep whisking until the gravy turns to a dark color,Season
9ekEjxd-A_Y,validation,115,5,226,248,dip the hot dog into the batter,Cook-Heat
9guuyTr8EUg,validation,302,8,310,314,place the filling on the corner of the wrapper,Idle
9guuyTr8EUg,validation,302,12,365,372,place the spring rolls in the oil,Cook-Heat
A8eDWlCYaq8,validation,109,4,141,148,put the chicken in fridge for 20 minutes,Idle
ACyY0jTrm5c,validation,403,2,94,115,add cooked chicken brocoli carrots cilantro and peanuts,Mix
AEpS4UBE6ds,training,302,5,233,245,place the spring roll sheets on a damp cloth,Mix
AFc6KPGfVs8,training,119,5,270,284,pour the sauce on top of the meatballs,Plate
AGq4lnC_WVo,training,121,1,78,85,add white wine cover a lid and turn on the heat,Mix
AGq4lnC_WVo,training,121,7,270,284,add the milk and fish stock,Mix
AGq4lnC_WVo,training,121,12,545,548,add the clams to the chowder,Mix
ALpzvKkohfQ,training,405,4,236,243,add a little bit of water,Mix
ALpzvKkohfQ,training,405,5,275,312,add chopped tomatoes stir and put the lid on,Mix
ALpzvKkohfQ,training,405,6,345,366,add some water and coriander leaves,Mix
AMBH5L6x3dQ,validation,423,9,232,267,add a can of laksa to the soup and bring the soup to a boil,Prep
AMBH5L6x3dQ,validation,423,10,281,308,add a little fish sauce sugar and lime juice,Mix
APKue3kxJmg,training,205,4,353,372,brush some tomato sauce on the pizza and top with some chopped mozzarella cheese dried oregano and fresh basil,Plate
AcWeYhS3cDs,validation,317,4,65,78,pour the marinade over the beef,Mix
Afp_1HegZOc,training,213,2,38,55,add some cheese on top and bake the sandwich,Bake
Afp_1HegZOc,training,213,6,174,195,put the other piece of bread on top and brush some butter on top and bake the sandwich,Bake
Ap3g0IRcjzU,training,304,10,412,419,add the udon noodles and cook,Cook-Heat
Ay55c3jSbeI,training,230,2,143,160,squeeze lemon juice on top,Plate
Ay55c3jSbeI,training,230,7,389,488,place the chicken and vegetables on the skewers,Prep
BFpJtwAG-8A,training,216,2,181,189,place the bratwursts on the grill,Cook-Heat
BGCW_PWhY9g,training,317,2,62,75,cut the chicken and combine it with the marinade,Cut
BTMd6rcevns,training,117,7,85,91,add white vinegar to the boiling water and stir the water,Cook-Heat
BYoZz07Y_CY,training,307,4,110,128,put the rice into a container and cool,Prep
C4ROaIjK6Fs,training,314,2,96,101,add sake to the clams,Mix
C4ROaIjK6Fs,training,314,3,105,137,add sofrito to the clams and stir,Mix
CIRA1IC9shc,training,223,13,331,332,add the mushrooms to the stew,Plate
CK_GWBMUXGw,training,214,6,376,395,pour the sauce over the foie gras,Plate
C_6yMh3tEQk,training,403,4,340,343,add pad thai sauce,Season
Ck3oNHsLqfk,training,214,0,45,56,score the foie gras,Cut
Ck3oNHsLqfk,training,214,7,217,227,burn cherry blues using blow torch and make smoke,Cook-Heat
CotdlwupDSI,validation,313,4,145,162,pour some sauce,Mix
CrLSUUltW2A,training,421,5,237,283,roll balls flat,Mix
CrLSUUltW2A,training,421,10,443,482,add filling and seal closed,Mix
CtAJhyW0j_M,training,324,2,322,328,add a chunk of udon noodles into the soup,Mix
CvSyuGqTrqk,training,207,5,161,173,dip fish slices into batter,Cut
D7K6_0gtpHQ,validation,222,5,234,245,pour the cooked milk mixture and the parsley on top of the mussels,Mix
DBJUD9V-1rQ,training,412,3,140,168,add green beans bell peppers and peas,Mix
DVW7nZeeVlk,validation,416,0,110,120,place the dal in a pressure cooker with four cups of water,Mix
DViAejsp_rQ,training,425,3,68,78,place the masala on the dosa,Idle
Db6SYxAfmPM,training,108,4,150,151,pour honey on top,Plate
DeP_lwBPvzw,training,406,9,231,279,remove shrimp skin,Prep
DvAiRex4JlQ,training,113,3,135,149,place the ham on the bread,Plate
DvAiRex4JlQ,training,113,4,157,161,place a piece of bread on top,Plate
EHPkhM261nk,training,218,5,211,221,roll the dough into a thin sheet,Mix
EJm2J0WqRcY,validation,204,2,93,98,pour in vodka,Mix
ETXVbDoMKbQ,training,228,1,78,88,add tahiti,Mix
Eci1mvWcQuI,training,216,3,102,109,add sauerkraut and mustard to the bratwurst,Season
EedEYHqLfP8,validation,106,2,144,167,add evaporated milk water and cheese,Mix
EizSoy7Ztto,training,314,6,254,260,pour the soup over the noodles,Plate
EjHxMfOdl1k,training,127,2,122,150,put the chicken black beans green onions cilantro and pepper in the rice,Mix
Ex2yu23wyHA,training,304,4,188,192,add sesame oil,Season
EyAdFQJv2LY,training,313,1,19,22,hold the fish in the other hand,Idle
F-Pgf8bXDpQ,training,215,3,110,112,add an escargot to the shell,Mix
F-Pgf8bXDpQ,training,215,5,122,125,place the shells in a tray,Plate
F1hJsAju9IY,training,310,1,36,46,remove big fiber,Idle
F2qYQZ7Q68s,validation,127,5,100,138,add the moreno to a piece of taco and spread some cheese and roll it up,Mix
FHvZgt3ExDI,training,205,2,216,301,put some sauce on the pizza dough and top it up with mozzarella cubes and basil leaves,Mix
FeUEV0a6I5I,training,122,3,91,103,remove the bayleaf and let the mixture cool completely,Idle
FliMoBfG72Y,validation,307,2,138,179,put mayonnaise fish roe crab meat red lettuce cucumber salmon and avocado on top,Plate
Fp_d1SlbG_0,training,124,10,244,253,roll the hot dogs in the water,Mix
FpzbVOkHh_M,training,418,6,407,439,add chana masala dry mango powder pomegranate seeds sugar tamarind paste to the pan and stir,Season
FtHLUsOntqI,training,325,6,312,322,add mushrooms and spring onions to the soup,Mix
FtHLUsOntqI,training,325,8,429,436,add sesame chili oil to the soup,Mix
G-vY8T7pSTM,training,307,3,78,94,add cucumber and avocado,Mix
G21LXiasKf4,training,103,5,190,228,place some tomato sauce the burger patty the onions on a bun and cover with another bun on,Plate
G5dAW-jtLhg,training,413,5,242,246,pour soy sauce in the sandwich,Season
G5dAW-jtLhg,training,413,6,251,267,place cilantro in the sandwich,Plate
Ghefa-Q18Tg,training,122,3,270,303,add the chicken stock to the soup,Mix
Ghefa-Q18Tg,training,122,6,349,387,add the roasted tomatoes to the soup and cook for 5 minutes,Cook-Heat
Ghn26BIbbvE,training,319,2,261,303,add radish to a pan of hot oil with salt pepper garlic green onion sesame seeds and soy sauce,Mix
Ghn26BIbbvE,training,319,3,314,351,add mushroom salt pepper soy sauce garlic and green onion to a hot pan,Mix
GmWb7W7m2vs,training,412,3,60,74,add the lid and cook the rice,Cook-Heat
GmWb7W7m2vs,training,412,12,330,341,add the cooked rice,Mix
Gq9rHij2z20,training,416,3,262,267,add tomato puree,Season
Gq9rHij2z20,training,416,5,328,342,add butter and dal water,Mix
Gq9rHij2z20,training,416,6,393,399,add the dal,Mix
Gr7E2bhg0iw,training,401,1,185,201,add a little bit water and grind again,Mix
GrCrG-EMr8g,training,307,1,100,119,take shredded crab meat and add some mayonnaise and mix it well,Mix
GrCrG-EMr8g,training,307,5,227,268,take the bottom and roll it tightly to seal the edges and roll it,Idle
H3cnPVPdwTY,training,318,2,335,380,cut the rib into three small pieces add the pieces of the bowl and mix,Cut
HBUz55JRRm8,validation,212,10,526,570,layer the potatos in the dish,Plate
HJBQ-NgQ9T0,training,224,9,419,425,place a lemon wedge on top,Plate
HK92pViSZA0,training,116,6,95,101,add cheese over the sauce,Mix
HLQ16akzeI8,training,307,3,89,149,add avocado crab and cucumbers and roll the nori paper,Mix
HLQ16akzeI8,training,307,4,170,183,put rice on the nori sheet and sprinkle it with sesame seeds,Mix
HdQzPLk_KiA,validation,229,1,105,120,squeeze some lime juice to it and add some olive oil,Season
HeG0xZ-U_4w,training,116,1,18,50,add oil chopped onion bell pepper mushrooms and garlic to a pan,Mix
Hu1-l8xvJjU,training,215,5,37,47,add escargots and whipping cream and boil,Cook-Heat
HvQ7M9ibS_8,training,410,4,210,240,roll the dough out,Mix
HxehEvClhQI,training,221,3,117,157,add diced tomatoes red wine and beef broth and stir,Mix
I1JgU6TK-yc,validation,110,1,76,92,pour some of it into a cup and put the rest into a bag with chicken,Mix
I1JgU6TK-yc,validation,110,7,221,252,cut the cooked chicken and toasted bread and toss into the salad,Cut
ID2ct1TlVuk,training,323,5,111,140,add sesame oil and soy sauce to the wok and stir,Season
IDu5czNIM1w,validation,114,1,45,60,put the potatoes in a pot and cover them with cold water add some salt and bring the water to boil,Cook-Heat
IDu5czNIM1w,validation,114,5,105,125,add butter grated parmesan cheese chopped chives cream cheese and minced garlic,Season
ILS3z1zpD8k,training,209,2,31,48,scrape vegetables into bowl and add lamb to the skillet,Mix
ILS3z1zpD8k,training,209,4,55,69,add vegetables flour chicken broth and tomato paste,Mix
IqD6qnug7tc,training,324,3,73,89,add lemongrass galangal crushed vegetables and tomatoes,Mix
IqD6qnug7tc,training,324,5,111,125,add the seafood and mushrooms,Mix
IsyVAXuaCC8,training,230,7,380,456,stack meat onion tomato and green pepper on the skewer,Prep
J5Tw7KRnSyc,validation,207,10,231,234,put the fish in a cone,Mix
J6j0B9hK2Sk,training,112,6,113,122,add in minced garlic and the prepared shrimp and crab,Mix
JAF3Bpy-AsY,training,318,7,298,319,place the ribs on the grill,Cook-Heat
JPbFE731Y0c,validation,216,2,80,110,place the bratwurst on the grill and cook them until brown for about 10-15 minutes,Cook-Heat
JQl2zaUGNSU,training,201,5,220,248,add cheese on top of the chicken and cover,Plate
JXCmp1jMi0w,training,105,6,189,206,add some water ketchup and garlic powder while whisking,Mix
JdDL-ekwq2A,training,401,2,108,119,add diced tomatoes and cover to cook,Cook-Heat
JdDL-ekwq2A,training,401,6,192,196,add some water,Mix
JeLdTWqLUY0,training,216,3,167,172,place the brats in the roll,Mix
JrOs3kkSZ48,training,325,5,125,144,add the vegetables chicken and garlic to the soup,Mix
JxCBGlPgr5o,validation,103,3,122,129,roll the dough out,Mix
JxCBGlPgr5o,validation,103,5,139,151,brush the circles with egg washa and sprinkle with sesame seeds,Season
JxCBGlPgr5o,validation,103,8,194,204,roll the beef out,Mix
K6Uk5vNi1_Q,training,401,5,294,298,add in the tomatoes,Mix
K6Uk5vNi1_Q,training,401,8,391,399,add in water,Mix
K8cfa-hIT-8,training,324,2,153,168,add carrots and broccoli and stir,Mix
K8cfa-hIT-8,training,324,5,240,245,add in the udon noodles,Mix
K8cfa-hIT-8,training,324,6,274,294,place some roasted turkey on top,Bake
K8cfa-hIT-8,training,324,8,335,412,take the noodles out pour some soup in and garnish with chopped green onions,Plate
KDwsw3XLhUo,training,209,1,91,124,add minced lamb and stir,Mix
KIvxQGWU5KU,training,211,1,99,104,add tea to it and braise,Cook-Heat
KTQeLdmlzBo,validation,127,2,206,218,add guacamole cheese lettuce and olive on top,Plate
KUL6f9Q5ER4,training,412,3,216,224,add steamed rice chopped onion and pineapple,Mix
KUL6f9Q5ER4,training,412,6,267,285,add some cooking sauce and stir,Cook-Heat
KYoelaJY5LA,validation,225,2,97,103,add the collard greens to the soup,Mix
KchBiFT7Vlg,training,202,7,124,134,add minced garlic and tomato puree and chopped tomatoes and saute,Cook-Heat
KchBiFT7Vlg,training,202,9,144,147,add the pasta,Mix
KmqfNQG1BXk,training,314,5,108,109,put the eggs in the marinated pork liquid,Mix
KpzFf81iax8,training,401,9,349,364,add beaten curd,Mix
Krmi9Is522c,training,421,6,368,491,apply water to the edges make a cone stuff it with the filling and seal it,Mix
L-NOPLU4JOQ,training,419,6,260,277,roll balls flat on surface,Mix
L3x9HDsfpBY,training,126,7,212,220,squeeze some lime juice in it,Season
L5IxNIODQkc,training,117,2,110,121,put the salmon on top of the bread,Plate
L8ZRBTdq3mE,training,226,1,165,208,add lemon juice apple cider vinegar pomegranate syrup and olive oil and mix,Mix
LA6DXaQ5vGQ,training,416,4,137,143,add in the cream,Mix
LA6DXaQ5vGQ,training,416,5,153,155,add in the garam masala,Season
LMoGwLqPM64,training,324,4,96,106,remove the foam then cover,Idle
LMoGwLqPM64,training,324,8,144,146,add the noodles,Mix
LQDP3xm8aRk,validation,208,0,40,53,put potatoes and salt into a pot of water and boil,Cook-Heat
LQDP3xm8aRk,validation,208,1,56,80,fill second pot with peas mint salt sugar and water and boil,Cook-Heat
LQDP3xm8aRk,validation,208,8,210,230,add chopped tomato to onions and mix,Mix
LRjJqoeprqg,training,213,5,360,394,pour sauce onto the sandwich and top with a slice of cheese,Plate
LfSYF1N5i_Q,validation,122,2,95,126,add chicken stock tomato paste and diced tomatoes,Mix
LhrmwGxTLAE,training,218,13,494,497,spray pierogis with nonstick spray,Season
Lky6MPtNJto,training,119,4,144,160,add some beef broth and whisk,Mix
LpBsoQ6TAL0,validation,204,4,194,206,add vodka to the sauce,Mix
M0aQH3SpfhU,training,227,1,134,153,add olive oil and stir thoroughly,Mix
M1HPY6_IEqU,training,119,4,72,80,add the sauce to the top of the loaf,Mix
M6gouTbPn70,training,115,4,114,121,put the batter in a tall cup,Mix
MCtF5tRCRUk,validation,117,6,205,235,layer ham on the english muffins,Mix
MCtF5tRCRUk,validation,117,7,235,255,place the poached egg on the layer of ham,Mix
MIt0YvVC2iY,training,406,2,66,74,place the noodles on the wrapper,Mix
MPCU71Hg-i4,validation,116,4,29,33,place cheese and pepperoni on the bread,Plate
MPCU71Hg-i4,validation,116,8,42,43,place bread on top of the sandwich,Plate
Mc3pEWN0sTs,training,413,1,33,65,add the shallots sugar fish sauce oyster sauce five spice powder black pepper and oil to a bowl and mix,Mix
Mm6Ay5ez6Ig,training,302,9,228,232,place the filling on the wrapper,Idle
Mm6Ay5ez6Ig,training,302,11,246,250,seal the spring roll with water,Mix
MtWNUAUmGpU,training,202,0,42,106,pour olive oil into a pan and add garlic bay leaves oregano celery seed onion tomato and tomato paste,Cook-Heat
MxIBrXGWFw0,training,201,4,168,220,place the cooked chicken on the sauce and add some more pasta sauce on top of it,Plate
MxIBrXGWFw0,training,201,5,221,228,put the smoked provolone cheese on top of the chicken pieces,Plate
N1-rqFfCm9M,validation,422,5,88,100,clean the chicken and throw the bones in a pot of boiling water,Cook-Heat
NAMZY2LbeFY,validation,225,5,228,230,add the pasta,Mix
NB-5FHq_vL4,training,105,5,481,555,add the chicken into the bag seal it and shake to cover the flour on the chicken,Mix
NK2tAXi3cT4,validation,126,2,258,395,add condensed tomato soup salsa water and the chopped tortillas to the cooked beef,Mix
NLZO6xY1DXs,training,307,4,150,155,place it upside down on a bamboo sushi rolling mat,Mix
NRovp9c9e-4,validation,401,1,220,365,add grated onion and cook until the onion turns brown,Cook-Heat
NTyhMGmuWik,validation,124,5,279,323,place frankfurter in middle of bun cover sausage with chili prepared earlier top with mustard sauce garnish with chopped onions,Plate
NkCbbwxEdXU,training,418,4,125,137,add tomatoes to onion paste and cook,Cook-Heat
NkU9HSI1S9k,training,325,3,190,199,add chicken cherry tomatoes and mushrooms,Mix
NktYVXNREVY,training,221,5,470,570,add the homemade goulash soup and dark beer,Mix
Ns8su84olsQ,training,403,6,334,380,add bean sprouts scallians peanuts and gently stir,Mix
NwiypvZAymk,training,401,8,404,450,add 500gms of chicken breast cubes to the prepared sauce,Mix
Nz9EAqTBrNw,training,307,0,59,76,wrap the bamboo mat with the wrapping paper,Idle
O0dbSxAKljk,training,120,6,368,383,when the bottom turns brown flip the hash browns,Bake
OEfzgobszUA,validation,127,0,14,21,take 2 peppers and 1 green bell pepper take out the seeds and cut it into half,Cut
OEfzgobszUA,validation,127,6,76,83,add 1 can of kidney beans and 1 can of refried beans and mix it well,Mix
OEfzgobszUA,validation,127,11,144,168,put the leftover filling on top and some sauce and some more cheese,Plate
OF-Zh5FrxGc,validation,204,9,362,368,add cream to the sauce,Mix
OKyOqfAeARQ,training,409,8,221,226,add milk to the top of the rice,Mix
OMJvrjWEjC0,training,204,4,104,121,add tomato sauce and water to the sauce,Mix
OMJvrjWEjC0,training,204,6,150,159,add the pasta too the sauce,Mix
OsYU9W14guU,training,308,7,202,212,roll up into a cone,Mix
P7bsYTDILps,training,119,4,130,136,pour the sauce on the meat and add soaked bread crumbs mixture,Mix
PHpk4ITk-SE,validation,126,4,91,112,remove the air and lock the cover,Idle
PHpk4ITk-SE,validation,126,9,326,331,wrap it along with other vegetables to make tacos,Mix
PLqTyxMYgBg,training,107,11,272,281,take some lettuces in a bowl pop the cherries off in to the it and add the calamari,Mix
POgIE_9QuYA,training,422,3,200,215,transfer the noodles to a cold water bath and return to the hot water,Cook-Heat
PPWGxMrCKHo,training,216,2,48,60,turn the brats occasionally to cook them on all sides evenly for 20  30 minutes without burning them,Cook-Heat
PQ97HXmsFR0,validation,302,14,474,487,once the rolls turn brown remove and place them on a plate with paper towels and serve,Plate
PRSzKHcYXrk,training,229,4,140,168,form the mixture into balls and cool in the fridge,Idle
PTpRTJKAEoI,validation,110,7,168,172,put 2 tsp of olive oil add cut bread dices and fry,Cook-Heat
PTpRTJKAEoI,validation,110,9,194,204,add roasted bread crumbs crispy bacon slices of parmesan cheese  shaved  to seasoned greens and pour dressing blend on top,Bake
P_eepz1z7H8,training,406,2,67,80,place the shrimp on the other side of the paper,Idle
QISvGTL2VDc,validation,423,0,56,63,slice the fish cakes bean curd and boiled eggs,Cut
QKjmdrMA2t8,validation,203,7,181,216,take out meat balls put them to pasta sauce mix well bring to boil and let simmer for 30 minutes,Cook-Heat
QRUXnp4mDUQ,training,308,0,59,68,place the nori down with the textured side up,Idle
QS0I7mLQIgc,training,122,1,58,74,add finely chopped garlic give a stir and cook for a minute,Cook-Heat
QVIrvIjknv4,training,305,2,95,120,pour the salt water into the container with the chopped cabbage and let the cabbage soak for 2 hours,Mix
QWhn9Ncvvso,training,101,5,171,180,place the tomato slices on top of the lettuce sprinkle some grated pepper,Plate
Qh_rtJaCpXs,training,203,7,189,193,now add the fried meatballs to the sauce and mix,Mix
QpDxIXV6VTE,training,121,3,229,232,pour the clam stock into a jar,Mix
Qsgz9Vr-5aU,training,209,9,320,380,layer butternut squash on bottom of dish sprinkle basil into meat mixture and layer on top of squash mashed potatoes,Plate
Qy366zq9vws,training,219,5,114,128,put a cloth on top of the jar to cover and tie a rope around tight,Plate
R4ZerUrULLk,training,416,1,46,60,add cumin seeds and chopped onion,Mix
